flat_w,flat_f,spheres_s,spheres_m,spheres_l,cotton_s,cotton_m,cotton_l,jute_s,jute_m,jute_l,sand_s,sand_m,sand_l
0,0,0,0,0,0,0,0,0,0,4,11,0,0
0,0,0,0,2,0,0,0,3,3,1,0,0,4
0,0,0,0,0,0,0,0,0,0,5,3,4,0
0,0,0,0,10,0,0,0,1,0,0,0,3,0
0,3,0,2,0,0,0,0,11,6,0,0,0,10
0,0,0,12,0,0,0,0,0,6,0,0,0,0
1,0,0,14,0,3,4,0,0,0,0,0,0,9
0,0,2,15,0,4,2,0,0,0,0,0,7,0
0,0,0,17,0,1,0,0,0,0,4,19,0,5
3,0,0,7,4,0,0,0,3,0,0,1,0,6
0,0,0,9,0,5,11,0,1,0,0,2,2,5
0,0,0,21,0,0,0,0,0,0,0,0,3,0
0,0,0,18,0,0,0,0,0,0,0,0,0,16
0,0,2,0,11,0,0,0,1,0,0,0,0,3
0,0,4,0,2,4,0,0,5,0,0,1,7,0
0,0,0,23,0,6,0,0,0,0,0,0,4,0
0,0,3,0,7,4,0,0,0,0,0,0,2,0
0,0,1,0,16,0,0,0,2,0,0,0,2,0
0,0,0,0,13,0,0,0,0,0,0,12,2,19
0,0,0,0,4,0,0,0,0,1,0,12,11,0
0,0,0,0,0,0,2,0,6,1,0,0,0,11
11,0,0,4,3,0,1,0,8,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,7,15
0,0,0,4,0,0,0,0,2,0,0,9,0,0
0,0,0,8,6,0,0,0,2,0,3,0,0,8
0,0,0,4,0,0,0,0,0,16,1,0,30,19
0,0,0,12,0,5,0,0,0,4,0,1,14,0
1,0,0,6,18,12,0,0,7,0,6,0,8,0
0,0,0,22,0,10,0,0,0,0,4,3,7,0
4,0,0,0,3,8,0,0,0,0,7,0,16,0
0,0,0,0,9,6,0,0,0,0,4,0,0,0
0,0,0,4,0,0,0,0,0,3,0,0,7,3
3,0,3,14,27,0,0,0,8,6,0,15,16,0
2,3,0,0,0,2,0,0,0,0,4,0,0,15
0,0,7,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,1,0,0,1,13,19
0,0,0,0,9,2,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,9,14,1
0,0,0,0,5,1,0,0,0,0,0,0,0,0
0,0,0,0,3,1,0,0,0,0,0,3,12,14
0,0,0,7,0,3,0,0,1,0,0,0,9,0
0,0,0,10,4,0,0,0,0,1,0,8,0,0
0,0,0,3,2,0,0,0,0,0,2,1,10,0
0,0,0,9,0,1,0,0,7,0,0,0,6,0
0,0,0,31,0,0,1,0,3,1,8,0,0,0
0,0,0,10,0,2,0,0,2,3,0,13,1,3
0,0,0,0,31,0,0,0,0,0,0,0,0,0
0,0,1,2,5,0,0,0,0,0,0,10,0,0
0,0,2,19,0,0,0,0,5,0,0,0,0,5
8,0,0,17,8,0,1,0,0,0,2,0,0,15
0,0,0,2,15,0,2,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,17,0,12
6,1,0,0,8,0,0,0,1,0,0,5,11,0
1,0,8,0,4,1,0,0,2,5,0,0,0,15
2,0,1,4,15,0,0,0,0,0,8,0,0,9
1,0,0,0,1,0,0,0,0,3,10,0,0,5
1,0,0,8,7,0,0,0,0,21,3,0,0,0
0,0,1,18,16,0,0,0,0,0,0,1,0,3
0,0,0,0,9,0,0,0,0,0,8,0,10,22
0,5,1,0,6,0,0,0,4,0,0,0,0,0
0,0,5,1,0,0,0,0,0,1,3,0,3,0
0,0,5,4,0,0,0,0,0,0,0,4,16,9
0,0,1,0,0,0,0,0,0,0,0,0,13,0
0,0,7,3,0,0,0,0,0,3,10,0,17,0
0,2,8,8,9,1,0,0,22,1,13,0,13,0
0,3,0,1,15,0,1,0,2,0,0,0,0,26
0,0,3,10,15,0,1,0,1,0,2,14,31,16
0,0,0,0,5,0,6,0,1,0,0,0,3,1
0,0,0,5,4,0,1,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,3,0,5,4,0,0
0,0,0,0,10,0,2,0,0,0,0,3,0,0
0,0,10,0,0,0,0,0,0,0,0,9,0,3
0,0,8,0,0,0,0,0,0,0,0,0,29,0
0,0,0,1,0,0,0,0,0,0,0,0,11,0
0,0,2,9,0,0,0,0,0,0,0,12,0,0
0,0,0,0,0,0,0,0,2,0,0,12,10,0
0,0,1,0,0,0,0,0,3,10,0,11,4,3
0,0,0,6,0,0,0,0,0,4,2,0,1,0
0,0,0,10,0,0,0,0,0,0,0,8,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,4
0,0,0,0,10,0,0,0,0,0,6,0,0,16
0,0,0,0,8,0,0,0,5,0,0,0,0,22
3,0,0,14,6,1,0,0,1,0,11,12,1,0
0,0,2,0,8,0,3,0,0,0,2,0,1,0
0,0,0,0,0,0,0,0,7,0,0,12,0,4
0,1,0,0,0,0,0,0,0,0,3,6,10,0
0,0,0,0,0,0,0,0,0,0,0,3,2,28
1,0,0,4,0,5,0,0,0,1,2,0,0,24
3,0,0,10,25,8,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0,0,2,0,3
0,0,0,0,7,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,2,0,0,0
0,0,0,0,0,3,0,1,0,2,0,0,20,0
0,0,0,0,6,1,0,1,0,0,5,11,20,4
0,0,4,0,0,4,0,0,5,0,2,0,0,0
0,0,0,4,0,0,0,0,3,4,0,2,0,0
0,0,3,11,1,10,0,0,0,1,5,0,0,13
0,0,7,0,0,3,0,0,0,0,0,0,9,0
0,0,2,0,0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,3,6,0,2,0,0,0,0,0
0,0,0,5,0,6,0,0,2,0,2,0,0,31
0,0,0,5,0,7,0,0,5,0,0,0,18,0
0,0,0,13,0,3,0,0,0,0,0,11,6,2
0,0,0,17,13,1,0,0,0,0,0,0,0,0
3,0,0,9,6,0,0,0,1,0,0,11,0,0
0,0,18,0,0,0,0,0,0,0,7,0,0,2
0,0,11,2,0,0,0,0,6,0,0,19,6,20
0,0,7,4,0,0,0,0,0,0,0,0,15,3
0,0,0,0,2,1,0,0,0,0,5,4,0,6
0,0,0,0,0,4,0,0,2,0,0,0,0,0
1,0,0,9,0,6,0,0,2,7,0,0,0,0
0,0,4,2,0,1,0,0,0,0,0,22,4,0
0,0,0,0,8,15,0,0,0,0,0,4,0,5
0,0,0,0,0,0,0,0,0,0,0,5,0,16
0,5,1,0,0,1,0,0,4,3,0,0,6,0
0,1,0,0,0,0,0,0,4,0,0,0,9,0
0,0,2,2,0,0,0,0,0,7,2,0,23,6
0,0,0,2,0,0,0,0,0,4,1,10,1,0
0,0,0,0,4,3,0,0,0,0,0,16,17,0
0,0,0,3,0,0,0,0,0,0,0,2,1,15
0,0,5,4,8,0,0,0,0,0,0,4,0,3
0,0,5,16,0,3,1,0,0,0,1,2,0,0
0,0,1,25,0,0,0,0,4,0,0,11,0,0
0,0,1,23,0,0,0,0,1,0,0,0,0,3
0,0,0,6,13,0,0,0,0,0,0,5,11,0
0,0,0,1,0,6,7,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,2,0,0,0
0,0,1,2,4,0,0,0,4,0,0,0,8,14
0,1,0,1,0,0,0,0,5,20,0,0,0,0
0,0,0,0,14,0,0,0,5,0,0,0,0,0
0,0,0,7,6,0,0,0,0,0,0,2,0,0
0,0,4,0,0,0,0,0,0,0,0,15,0,15
0,0,13,0,0,7,0,0,1,0,0,2,9,0
3,0,1,0,0,7,0,0,0,0,0,0,0,0
0,0,0,2,0,7,0,0,0,0,0,10,0,0
0,0,0,8,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,8,0,0,0,0,0,0,0,0
0,0,11,3,0,0,0,0,0,0,0,6,3,0
0,0,0,0,2,0,0,0,3,8,0,4,0,0
